stringId,EN,KO,ZH_CN,ZH_TW,TH
common.retry,Retry,다시 시도,重试,重試,ลองใหม่
common.confirm,Confirm,확인,确认,確認,ยืนยัน
common.cancel,Cancel,취소,取消,取消,ยกเลิก
common.save,Save,저장,保存,儲存,บันทึก
common.play,Play,플레이,开始,開始,เล่น
common.complete,Complete,완료,完成,完成,เสร็จสิ้น
common.claim,Claim,받기,领取,領取,รับ
common.lobby,Lobby,로비,大厅,大廳,ล็อบบี้
common.next,Next,다음,下一步,下一步,ถัดไป
common.resume,Resume,계속,继续,繼續,เล่นต่อ
bootstrap.loading,Loading...,로딩 중...,加载中...,載入中...,กำลังโหลด...
bootstrap.ready,Ready,준비 완료,准备就绪,準備就緒,พร้อม
bootstrap.network_error,Network error. Please try again.,네트워크 오류입니다. 다시 시도해 주세요.,网络错误。请重试。,網路錯誤。請重試。,เกิดข้อผิดพลาดของเครือข่าย โปรดลองอีกครั้ง
title.tap_to_start,TAP TO START,탭해서 시작,点击开始,點擊開始,แตะเพื่อเริ่ม
title.continue_google,Continue with Google,Google로 계속하기,使用 Google 继续,使用 Google 繼續,ดำเนินการต่อด้วย Google
title.continue_apple,Continue with Apple,Apple로 계속하기,使用 Apple 继续,使用 Apple 繼續,ดำเนินการต่อด้วย Apple
hud.settings,Settings,설정,设置,設定,การตั้งค่า
hud.language,Language,언어,语言,語言,ภาษา
hud.moves_fmt,Moves: {0}/{1},이동 횟수 : {0}/{1},步数: {0}/{1},步數: {0}/{1},การเคลื่อนที่: {0}/{1}
hud.moves_no_limit_fmt,Moves: {0},이동 횟수 : {0},步数: {0},步數: {0},การเคลื่อนที่: {0}
status.energy_empty,Energy 0,에너지 0,能量 0,能量 0,พลังงาน 0
status.stamina_full,Full,가득 참,已满,已滿,เต็ม
tab.shop,Shop,상점,商店,商店,ร้านค้า
tab.home,Home,홈,主页,首頁,หน้าแรก
tab.ranking,Ranking,랭킹,排行榜,排行榜,อันดับ
home.stage_play,Play Stage,스테이지 플레이,开始关卡,開始關卡,เล่นด่าน
home.daily_title,Daily Challenge,일일 챌린지,每日挑战,每日挑戰,ชาเลนจ์รายวัน
home.daily_streak_fmt,Daily streak,일일 연속 기록,每日连续记录,每日連續紀錄,สถิติรายวันต่อเนื่อง
shop.balance_label,Balance,보유량,余额,餘額,ยอดคงเหลือ
shop.section_stamina,Stamina,스태미나,体力,體力,สตามินา
rank.tab_clear,Stages Cleared,클리어한 스테이지,已通关关卡,已通關關卡,ด่านที่ผ่านแล้ว
rank.tab_score,Total Score,총점,总分,總分,คะแนนรวม
rank.you,You,나,你,你,คุณ
popup.force_update.title,Update Required,업데이트 필요,需要更新,需要更新,จำเป็นต้องอัปเดต
popup.force_update.body,A new version is required to continue.,계속하려면 새 버전이 필요합니다.,需要新版本才能继续。,需要新版本才能繼續。,ต้องใช้เวอร์ชันใหม่เพื่อดำเนินการต่อ
popup.force_update.cta,Update Now,지금 업데이트,立即更新,立即更新,อัปเดตตอนนี้
popup.maintenance.title,Maintenance,점검 중,维护中,維護中,ปิดปรับปรุง
