stringId,EN,KO,ZH_CN,ZH_TW,TH
C,C,C,C,C,C
string(64),string(512),string(512),string(512),string(512),string(512)
PK,NN,NN,NN,NN,NN
app_title,PROJECT LINK,프로젝트 링크,项目连接,專案連線,โปรเจกต์ลิงก์
bootstrap_syncing_puzzle_data,SYNCING PUZZLE DATA,퍼즐 데이터 동기화 중,正在同步拼图数据,正在同步拼圖資料,กำลังซิงก์ข้อมูลปริศนา
status_data,DATA,데이터,数据,資料,ข้อมูล
status_packets,PACKETS,패킷,数据包,封包,แพ็กเก็ต
status_account,ACCOUNT,계정,账号,帳號,บัญชี
bootstrap_server_ready,v0.1.0   SERVER READY,v0.1.0   서버 준비 완료,v0.1.0   服务器就绪,v0.1.0   伺服器就緒,v0.1.0   เซิร์ฟเวอร์พร้อม
title_tagline,CONNECT COLORS. CLEAR THE FLOW.,색을 잇고 흐름을 완성하세요.,连接颜色。清除通路。,連接顏色。清出通路。,เชื่อมสีให้ครบ เคลียร์เส้นทาง
title_tap_to_start,TAP TO START,탭해서 시작,点击开始,點擊開始,แตะเพื่อเริ่ม
title_guest_profile_region,GUEST PROFILE  |  US REGION,게스트 프로필  |  한국 지역,游客档案  |  中国大陆地区,訪客檔案  |  台灣地區,โปรไฟล์ผู้เยี่ยมชม  |  ไทย
footer_notice,NOTICE,공지,公告,公告,ประกาศ
footer_terms,TERMS,약관,条款,條款,ข้อกำหนด
footer_server,SERVER,서버,服务器,伺服器,เซิร์ฟเวอร์
lobby_player,PLAYER,플레이어,玩家,玩家,ผู้เล่น
lobby_title_button,TITLE,타이틀,标题,標題,หน้าแรก
lobby_stage_map,STAGE MAP,스테이지 맵,关卡地图,關卡地圖,แผนที่ด่าน
lobby_world_1,WORLD 1 - STREAM GARDEN,월드 1 - 흐름의 정원,世界 1 - 溪流花园,世界 1 - 溪流花園,โลก 1 - สวนสายน้ำ
lobby_daily,DAILY,일일,每日,每日,รายวัน
lobby_event,EVENT,이벤트,活动,活動,อีเวนต์
lobby_season,SEASON,시즌,赛季,賽季,ซีซัน
lobby_play_stage,PLAY STAGE,스테이지 플레이,开始关卡,開始關卡,เล่นด่าน
nav_home,HOME,홈,主页,首頁,หน้าแรก
